Step,Scaffold,SMILES,DRD2_pred_activity,HB-donors (Lipinski),Number of rotatable bonds,Custom_alerts,raw_DRD2_pred_activity,raw_HB-donors (Lipinski),raw_Number of rotatable bonds,total_score,ID
9.0,C(=Cc1cnc2ccccc2c1)c1ccccc1,FC(F)(F)Oc1ccc(C=Cc2cnc3ccccc3c2)cc1,0.44125521183013916,1.0,1.0,1.0,0.44125521183013916,0.0,3.0,0.5654207468032837,Use-case DRD2 Demo_11
8.0,O=C(C=Cc1cccc(-c2ncncc2-c2ccccc2)c1)c1ccccc1,COc1ccc(-c2cncnc2-c2cc(C=CC(=O)c3ccc(OC)c(O)c3)c(OC)cc2OC)cc1,0.4397630989551544,1.0,1.0,1.0,0.4397630989551544,1.0,9.0,0.5642601847648621,Use-case DRD2 Demo_12
7.0,O=C(CCCCCN1CCc2ccccc2C1)NC1CCCc2ccccc21,COc1ccc2c(c1)CCCC2NC(=O)CCCCCN1CCc2ccccc2C1,0.4393720030784607,1.0,1.0,1.0,0.4393720030784607,1.0,8.0,0.5639560222625732,Use-case DRD2 Demo_13
5.0,O=C1Nc2ccccc2OC1(c1cccc(-c2cn[nH]c2)c1)c1ccnc(CN2CCCCC2)c1,CN1C(=O)C(c2cccc(-c3cnn(C)c3)c2)(c2ccnc(CN3CCCCC3)c2)Oc2ccccc21,0.43743324279785156,1.0,1.0,1.0,0.43743324279785156,0.0,5.0,0.5624480843544006,Use-case DRD2 Demo_14
0.0,c1cc2c(cc1CN1CCNCC1)-c1[nH]nc(-c3ccc(N4CCNCC4)cc3)c1C2,CN1CCN(Cc2ccc3c(c2)-c2[nH]nc(-c4ccc(N5CCN(C)C(C)(C)C5)cc4)c2C3)CC1,0.43370217084884644,1.0,1.0,1.0,0.43370217084884644,1.0,4.0,0.559546172618866,Use-case DRD2 Demo_15
8.0,O=C(CSc1nnc(COc2ccccc2)[nH]1)c1ccccc1,Cc1cccc(C)c1OCc1nnc(SCC(=O)c2ccc(Cl)c([N+](=O)[O-])c2)n1C,0.43335607647895813,1.0,1.0,1.0,0.43335607647895813,0.0,8.0,0.5592769384384155,Use-case DRD2 Demo_16
9.0,O=c1c2ccccc2[nH]c2ncn(Cc3ccccc3)c(=O)c12,Cc1nc2c(c(=O)c3ccccc3n2C)c(=O)n1Cc1ccccc1,0.43317434191703796,1.0,1.0,1.0,0.43317434191703796,0.0,2.0,0.5591356158256531,Use-case DRD2 Demo_17
6.0,O=C(N=c1cccc(Nc2ccc3c[nH]nc3c2)cc1)c1ccccc1,Cc1[nH]nc2cc(Nc3cccc(=NC(=O)c4ccc(F)cc4)cc3)ccc12,0.43300172686576843,1.0,1.0,1.0,0.43300172686576843,2.0,3.0,0.5590013265609741,Use-case DRD2 Demo_18
7.0,O=C(NCc1cccc(-c2cc3nc[nH]c(=O)c3c(=NC3CC3)[nH]2)c1)C1CC1,Cn1cnc2cc(-c3cc(CNC(=O)C4CC4)ccc3OC(F)(F)F)[nH]c(=NC3CC3)c2c1=O,0.4322836995124817,1.0,1.0,1.0,0.4322836995124817,2.0,6.0,0.5584428310394287,Use-case DRD2 Demo_19
9.0,O=C(Nc1ccccc1)c1cc2c(s1)-c1ccccc1OC2,Cc1cccc2c1-c1sc(C(=O)N(CCN(C)C)c3ccc(C(C)C)cc3)cc1CO2,0.43183431029319763,1.0,1.0,1.0,0.43183431029319763,0.0,6.0,0.5580933690071106,Use-case DRD2 Demo_20
2.0,O=C(c1cn2c(=O)ccnc2[nH]1)N1CCNCC1,CCc1c(C)nc2[nH]c(C(=O)N3CCNCC3)cn2c1=O,0.4293423593044281,1.0,1.0,1.0,0.4293423593044281,2.0,2.0,0.5561552047729492,Use-case DRD2 Demo_21
2.0,c1ccn2ccnc2c1,CCCCCSCc1cnc2c(C)cccn12,0.42925822734832764,1.0,1.0,1.0,0.42925822734832764,0.0,6.0,0.5560896992683411,Use-case DRD2 Demo_22
3.0,c1ccc(COc2ccccc2)cc1,CC(C)(CO)NCc1cccc(OCc2ccccc2)c1,0.4291428029537201,1.0,1.0,1.0,0.4291428029537201,2.0,7.0,0.5559999942779541,Use-case DRD2 Demo_23
3.0,O=S(=O)(Nc1cn[nH]c1)c1ccccc1,Cc1cc(Cl)c(S(=O)(=O)N(CC(F)F)c2c(C)nn(C)c2C)c(C#N)c1,0.4289640784263611,1.0,1.0,1.0,0.4289640784263611,0.0,5.0,0.5558609366416931,Use-case DRD2 Demo_24
0.0,c1ccc2c(c1)Nc1ccccc1C1CC21,O=C(CCl)N1c2ccccc2C2CC2c2ccccc21,0.4289567470550537,1.0,1.0,1.0,0.4289567470550537,0.0,1.0,0.5558552145957947,Use-case DRD2 Demo_25
8.0,c1ccc(CN=c2[nH]cno2)cc1,OCc1noc(=NCc2ccc(OC(F)(F)F)cc2)[nH]1,0.4288567304611206,1.0,1.0,1.0,0.4288567304611206,2.0,4.0,0.5557774305343628,Use-case DRD2 Demo_26
3.0,O=S(=O)(N=c1[nH]ccs1)c1ccc2c(c1)OCCN2c1cccc(OCCCN2CCCC2)c1,COc1ccc(N2CCOc3cc(S(=O)(=O)N=c4[nH]ccs4)ccc32)cc1OCCCN1CCCC1C,0.4286154806613922,1.0,1.0,1.0,0.4286154806613922,1.0,9.0,0.5555897951126099,Use-case DRD2 Demo_27
8.0,O=c1cccccc1-c1nocc1-c1ccccc1,C=CCc1ccc(O)c(-c2noc(C)c2-c2ccccc2)c(=O)c1OC,0.4272696077823639,1.0,1.0,1.0,0.4272696077823639,1.0,5.0,0.5545430183410645,Use-case DRD2 Demo_28
9.0,c1cc(CCCOc2ccc(-c3ncon3)cc2)on1,Cc1cc(CCCOc2c(C)cc(-c3noc(C)n3)cc2Cl)on1,0.4271923303604126,1.0,1.0,1.0,0.4271923303604126,0.0,6.0,0.5544829368591309,Use-case DRD2 Demo_29
7.0,O=C(Cn1cccn1)N1CCCC2Oc3ccccc3C21,Cc1cccc2c1OC1CCCN(C(=O)Cn3cc([N+](=O)[O-])cn3)C21C,0.4264938533306122,1.0,1.0,1.0,0.4264938533306122,0.0,3.0,0.5539396405220032,Use-case DRD2 Demo_30
1.0,c1ccc(OCc2cc(C3C4CC5CC(C4)CC3C5)cs2)cc1,c1ccc(OCc2cc(C3C4CC5CC(C4)CC3C5)cs2)cc1,0.4261476993560791,1.0,1.0,1.0,0.4261476993560791,0.0,4.0,0.5536704659461975,Use-case DRD2 Demo_31
7.0,c1ccc2c3c([nH]c2c1)C1c2cc4[nH]ccc4cc2CCN1CC3,CCc1c(C)[nH]c2cc3c(cc12)CCN1CCc2c([nH]c4ccccc24)C31,0.4259456992149353,1.0,1.0,1.0,0.4259456992149353,2.0,1.0,0.5535132884979248,Use-case DRD2 Demo_32
1.0,c1ccc(Cn2ncc3cnccc32)cc1,CC(=O)c1nn(Cc2c(Cl)cccc2Cl)c2ccncc12,0.42559775710105896,1.0,1.0,1.0,0.42559775710105896,0.0,3.0,0.5532426834106445,Use-case DRD2 Demo_33
2.0,O=C1NC(=O)N(c2ccccc2)C(=O)C1=Cc1ccco1,Cc1ccc(N2C(=O)NC(=O)C(=Cc3ccco3)C2=O)cc1,0.4249497056007385,1.0,1.0,1.0,0.4249497056007385,1.0,2.0,0.5527386665344238,Use-case DRD2 Demo_34
3.0,N=c1[nH]c(-c2ccccc2)c(Oc2ccc3[nH]nnc3c2)s1,CC(=O)N=c1[nH]c(-c2ccc(O)cc2)c(Oc2cc3nn[nH]c3cc2C)s1,0.4247734546661377,1.0,1.0,1.0,0.4247734546661377,3.0,3.0,0.5526015758514404,Use-case DRD2 Demo_35
2.0,O=C1NC(=NCC23CC4CC(CC(C4)C2)C3)C(=O)C1=Cc1ccccc1,CCN1C(=O)C(=Cc2ccc(F)c(Br)c2)C(=O)C1=NCC12CC3CC(CC(C3)C1)C2,0.42466360330581665,1.0,1.0,1.0,0.42466360330581665,0.0,4.0,0.5525161623954773,Use-case DRD2 Demo_36
3.0,C1=C(c2ccccc2)CCN2CCCCC12,COc1ccccc1C1=CC2CCCCN2CC1,0.4241400361061096,1.0,1.0,1.0,0.4241400361061096,0.0,2.0,0.5521089434623718,Use-case DRD2 Demo_37
5.0,c1ccc(N=c2cc[nH]c3nc(-c4ccco4)nn23)cc1,Cc1cc(=Nc2cccc(C(F)(F)F)c2)n2nc(-c3ccco3)nc2[nH]1,0.4239506721496582,1.0,1.0,1.0,0.4239506721496582,1.0,2.0,0.5519616603851318,Use-case DRD2 Demo_38
6.0,c1cncc(-c2cc3ncc4cn[nH]c4n3n2)c1,COc1ccc(-c2cc3ncc4c(C(F)(F)F)nn(C)c4n3n2)cn1,0.42386487126350403,1.0,1.0,1.0,0.42386487126350403,0.0,2.0,0.5518949031829834,Use-case DRD2 Demo_39
6.0,c1ccc(COc2ccccc2)cc1,CCOc1cc(C=NO)ccc1OCc1ccc(C(F)(F)F)cc1,0.423446387052536,1.0,1.0,1.0,0.423446387052536,1.0,6.0,0.551569402217865,Use-case DRD2 Demo_40
3.0,O=C(C(Cc1ccccc1)N1CCCC1=O)N1CCN(c2ccccc2)CC1,CC(=O)NC(C)c1ccccc1N1CCN(C(=O)C(Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,0.42214399576187134,1.0,1.0,1.0,0.42214399576187134,1.0,7.0,0.5505564212799072,Use-case DRD2 Demo_41
0.0,N=c1[nH]ccnc1-c1ccccc1,CN=c1[nH]c(Cl)c(Cl)nc1-c1ccccc1Cl,0.4209025800228119,1.0,1.0,1.0,0.4209025800228119,1.0,1.0,0.5495908856391907,Use-case DRD2 Demo_42
2.0,N=c1nc(-c2c(N3CCCCC3)[nH]cnc2=NCCCc2ccccc2)cc[nH]1,N=c1nc(-c2c(N3CCCCC3)[nH]cnc2=NCCCc2ccccc2)cc[nH]1,0.42043551802635193,1.0,1.0,1.0,0.42043551802635193,3.0,6.0,0.5492275953292847,Use-case DRD2 Demo_43
3.0,c1ccc(CSc2c3c(cc4c2CCCC4)CCCC3)cc1,Cc1ccc(CSc2c3c(c(C)c4c2CCCC4)CCCC3)cc1,0.4196150302886963,1.0,1.0,1.0,0.4196150302886963,0.0,3.0,0.5485894680023193,Use-case DRD2 Demo_44
4.0,O=C(N=c1[nH]ncs1)NC(=O)c1ccccc1,O=C(N=c1[nH]ncs1)NC(=O)c1ccc(C(F)(F)F)cc1,0.4192180037498474,1.0,1.0,1.0,0.4192180037498474,2.0,1.0,0.548280656337738,Use-case DRD2 Demo_45
6.0,c1ccc(-c2nc(CN3CCCc4ccccc43)co2)cc1,CCOc1cc(-c2nc(CN3CCCc4ccccc43)c(C)o2)ccc1O,0.41908031702041626,1.0,1.0,1.0,0.41908031702041626,1.0,5.0,0.5481736063957214,Use-case DRD2 Demo_46
3.0,c1cncc(-c2nc3ccccc3[nH]2)c1,CCOc1ccc2nc(-c3cnccc3Cl)n(C(C)C)c2c1,0.41899603605270386,1.0,1.0,1.0,0.41899603605270386,0.0,4.0,0.5481079816818237,Use-case DRD2 Demo_47
8.0,O=C(NC1CCC1)c1cc2[nH]c(=Nc3ccccc3)[nH]c2cc1N1CCNCC1,COc1cc(N=c2[nH]c3cc(C(=O)NC4CCC4)c(N4CCN(C=O)CC4)cc3[nH]2)c(Cl)cc1Cl,0.41853007674217224,1.0,1.0,1.0,0.41853007674217224,3.0,6.0,0.5477455854415894,Use-case DRD2 Demo_48
2.0,c1cnc(-c2cc[nH]c(=NC3CCCCC3)c2)nc1,CNC(=O)c1cnc(-c2cc(=NC3CCC(N)CC3)[nH]cc2Cl)nc1,0.41777798533439636,1.0,1.0,1.0,0.41777798533439636,3.0,3.0,0.5471606850624084,Use-case DRD2 Demo_49
7.0,c1ccc(N=c2[nH]oc3ccccc23)cc1,COc1cccc(N=c2[nH]oc3ccccc23)c1,0.4176079332828522,1.0,1.0,1.0,0.4176079332828522,1.0,2.0,0.5470283627510071,Use-case DRD2 Demo_50
4.0,O=C(N=c1cc[nH]cc1)c1ccccc1,O=C(N=c1cc[nH]cc1)c1ccccc1C(F)(F)F,0.41734617948532104,1.0,1.0,1.0,0.41734617948532104,1.0,1.0,0.5468247532844543,Use-case DRD2 Demo_51
6.0,c1ccc(CSc2nccn2-c2cccc3[nH]cnc23)cc1,N#Cc1nc(SCc2ccc(F)cc2)n(-c2cccc3[nH]cnc23)c1N,0.4171218276023865,1.0,1.0,1.0,0.4171218276023865,2.0,4.0,0.5466502904891968,Use-case DRD2 Demo_52
0.0,O=C(NCC1(c2ccccn2)CC1)N1CCCC1,CC=CC1CN(C(=O)NCC2(c3cc(C(F)(F)F)ccn3)CC2)CC1C(F)(F)F,0.41619861125946045,1.0,1.0,1.0,0.41619861125946045,1.0,4.0,0.5459322333335876,Use-case DRD2 Demo_53
5.0,c1ccccc1,COc1ccc(C)cc1NC(=O)C=CCN(C)C,0.4160596430301666,1.0,1.0,1.0,0.4160596430301666,1.0,5.0,0.5458241701126099,Use-case DRD2 Demo_54
4.0,O=C(CSc1nnnn1C1CC1)Nc1ccccc1,CC(C)c1ccc(NC(=O)CSc2nnnn2C2CC2)cc1,0.4159713089466095,1.0,1.0,1.0,0.4159713089466095,1.0,6.0,0.5457555055618286,Use-case DRD2 Demo_55
7.0,O=c1c2ccccc2c(-c2ccccc2)nn1C1CCCC1,O=c1c2ccccc2c(-c2ccc(F)cc2)nn1C1CCCC1,0.41576001048088074,1.0,1.0,1.0,0.41576001048088074,0.0,2.0,0.5455911159515381,Use-case DRD2 Demo_56
6.0,O=C(CN1CCC(c2cc(Cc3ccccc3)n[nH]2)CC1)NCc1ccccc1,CCn1nc(Cc2ccc(C)cc2)cc1C1CCN(CC(=O)NC(C)c2ccccc2)CC1,0.4153333306312561,1.0,1.0,1.0,0.4153333306312561,1.0,8.0,0.5452592372894287,Use-case DRD2 Demo_57
6.0,c1cncc(CNc2ncccc2CN2CCCC2)c1,CN(Cc1cccnc1)c1ncccc1CN1CCC(N(C)C(=O)CCN)C1,0.4153308570384979,1.0,1.0,1.0,0.4153308570384979,1.0,8.0,0.5452573299407959,Use-case DRD2 Demo_58
4.0,O=C(C(=Cc1ccccc1)SCc1ccccc1)c1ccccc1,COc1cc(C=C(SCc2ccc(C)cc2)C(=O)c2ccc(Cl)cc2)cc(OC)c1OC,0.41481074690818787,1.0,1.0,1.0,0.41481074690818787,0.0,9.0,0.5448527932167053,Use-case DRD2 Demo_59
5.0,c1ccc(-c2nn3ccccc3c2-c2ccccc2)cc1,Cc1ccc2c(-c3cc(F)c(F)c(F)c3)c(-c3ccc(S(C)(=O)=O)cc3)nn2c1,0.41462498903274536,1.0,1.0,1.0,0.41462498903274536,0.0,3.0,0.5447083711624146,Use-case DRD2 Demo_60
9.0,O=c1[nH]c2ccccc2n1CC1CCCc2ccccc21,CC(C)(C)NC(=O)C(C1CCCc2ccccc21)n1c(=O)[nH]c2ccc(F)cc21,0.4141315817832947,1.0,1.0,1.0,0.4141315817832947,2.0,3.0,0.5443245768547058,Use-case DRD2 Demo_61
1.0,O=C(NC1CC2CCC(C1)N2)c1ccccc1,CCC1C(NC(=O)c2c(F)cccc2F)CC2CCC1N2C,0.4133990406990051,1.0,1.0,1.0,0.4133990406990051,1.0,3.0,0.5437548160552979,Use-case DRD2 Demo_62
4.0,O=C(COc1ccccc1)N(CCc1ccncc1)Cc1ccccc1,Cc1cc(CCN(Cc2cccc(C(F)(F)F)c2)C(=O)COc2ccc(Cl)cc2)ccn1,0.41323035955429077,1.0,1.0,1.0,0.41323035955429077,0.0,8.0,0.5436236262321472,Use-case DRD2 Demo_63
5.0,N=c1cc(-c2ccccc2)c2c([nH]1)C1CC(C2)C1,CC1(C)C2Cc3c([nH]c(=N)c(C#N)c3-c3ccc(F)cc3)C1C2,0.4131275713443756,1.0,1.0,1.0,0.4131275713443756,2.0,1.0,0.5435436367988586,Use-case DRD2 Demo_64
8.0,O=C(COc1ccccc1)Nc1ccccc1-c1ccccc1,O=C(COc1ccccc1F)Nc1ccccc1-c1ccccc1,0.4130077064037323,1.0,1.0,1.0,0.4130077064037323,1.0,5.0,0.5434504747390747,Use-case DRD2 Demo_65
7.0,c1ccc2c(c1)CC1NCCC23CCCCC13,COc1ccc(O)c2c1CC1C3CCCCC23CCN1C,0.4128979742527008,1.0,1.0,1.0,0.4128979742527008,1.0,1.0,0.5433650612831116,Use-case DRD2 Demo_66
1.0,O=C(C1CC1)N1CCN(C2CC(c3ccccc3)C2)CC1,NS(=O)(=O)NC1(C(=O)N2CCN(C3CC(c4cccc(F)c4)C3)CC2)CC1,0.41280561685562134,1.0,1.0,1.0,0.41280561685562134,2.0,5.0,0.5432932376861572,Use-case DRD2 Demo_67
0.0,N=c1[nH]ccc2c[nH]c(=Nc3ccc(-c4cnc[nH]4)cc3)nc12,CCC(CO)N=c1[nH]ccc2c[nH]c(=Nc3ccc(-c4cnc(C)n4C)cc3OC)nc12,0.41237232089042664,1.0,1.0,1.0,0.41237232089042664,3.0,6.0,0.5429562330245972,Use-case DRD2 Demo_68
9.0,C(=Cc1ccnc2ccccc12)c1ccc(Oc2ccccc2)cc1,O=[N+]([O-])c1ccc(Oc2ccc(C=Cc3ccnc4ccccc34)cc2)c([N+](=O)[O-])c1,0.412151038646698,1.0,1.0,1.0,0.412151038646698,0.0,6.0,0.5427841544151306,Use-case DRD2 Demo_69
9.0,c1ccc(-c2cnn3cccnc23)cc1,CCCN(CCC)c1cc(C)nc2c(-c3ccc(Cl)cc3Cl)c(C)nn12,0.4120986759662628,1.0,1.0,1.0,0.4120986759662628,0.0,6.0,0.542743444442749,Use-case DRD2 Demo_70
8.0,O=C(Cc1ccnc2ccccc12)N1CCC(N2CCC(Cc3ccccc3)CC2)CC1,CC1(N2CCC(Cc3ccc(Cl)c(C(F)(F)F)c3)CC2)CCN(C(=O)Cc2ccnc3ccccc23)CC1,0.4117904007434845,1.0,1.0,1.0,0.4117904007434845,0.0,5.0,0.5425036549568176,Use-case DRD2 Demo_71
4.0,c1c[nH]cn1,C[N+]([O-])=Cc1nccn1COCCCF,0.41139495372772217,1.0,1.0,1.0,0.41139495372772217,0.0,6.0,0.5421960353851318,Use-case DRD2 Demo_72
3.0,O=S(=O)(Nc1nccs1)c1ccccc1,CCCCCCN(c1ncc([N+](=O)[O-])s1)S(=O)(=O)c1ccccc1,0.41136085987091064,1.0,1.0,1.0,0.41136085987091064,0.0,9.0,0.5421695709228516,Use-case DRD2 Demo_73
9.0,O=c1[nH]c(NC2CCCC2)ncc1N=Nc1ccccc1,Cc1nc(N(C)C2CC(CO)C(O)C2O)n(C)c(=O)c1N=Nc1ccccc1,0.4111235737800598,1.0,1.0,1.0,0.4111235737800598,3.0,5.0,0.5419849753379822,Use-case DRD2 Demo_74
9.0,N=c1cc(-c2ccccc2)cc[nH]1,N=c1cc(-c2cccc(Cl)c2Cl)cc[nH]1,0.41108712553977966,1.0,1.0,1.0,0.41108712553977966,2.0,1.0,0.5419566631317139,Use-case DRD2 Demo_75
8.0,O=C(c1cc[nH]c1)c1ccc2ccccc2c1,CCCn1cc(C(=O)c2ccc3ccccc3c2)c(OC)c1O,0.4107391834259033,1.0,1.0,1.0,0.4107391834259033,1.0,5.0,0.5416860580444336,Use-case DRD2 Demo_76
6.0,O=C1NC=NC1(c1ccccc1)c1ccccc1,CC(C)COc1ccc(C2(c3ccc(O)cc3)N=C(N)N(C)C2=O)cc1,0.41062989830970764,1.0,1.0,1.0,0.41062989830970764,2.0,5.0,0.5416010022163391,Use-case DRD2 Demo_77
2.0,O=C(Cn1ccc2ccccc21)N1CCC(NCc2ccccc2)CC1,Cc1cn(CC(=O)N2CCC(NCc3cccc(Cl)c3Cl)CC2)c2ccccc12,0.4104149639606476,1.0,1.0,1.0,0.4104149639606476,1.0,5.0,0.5414338707923889,Use-case DRD2 Demo_78
4.0,O=C(NC1CCC2c3[nH]c4ccccc4c3CCN2C1)c1csc2ccccc12,COC1CC2c3[nH]c4ccccc4c3CCN2CC1NC(=O)c1csc2ccccc12,0.4094409942626953,1.0,1.0,1.0,0.4094409942626953,2.0,3.0,0.5406763553619385,Use-case DRD2 Demo_79
0.0,c1ccc(-c2cn(C3CCCCC3)nn2)cc1,CN(C)C1CCC(C(F)(F)F)CC1n1cc(-c2ccc(N)cc2)nn1,0.4093915820121765,1.0,1.0,1.0,0.4093915820121765,1.0,3.0,0.5406378507614136,Use-case DRD2 Demo_80
9.0,O=C(N=c1[nH]ccs1)c1ccc(=NC(=O)c2ccccn2)[nH]c1,Cc1csc(=NC(=O)c2ccc(=NC(=O)c3ccc(OC(F)F)cn3)[nH]c2)[nH]1,0.4091235101222992,1.0,1.0,1.0,0.4091235101222992,2.0,4.0,0.540429413318634,Use-case DRD2 Demo_81
4.0,c1ccc(N=c2cc[nH]c(=Nc3ccccc3)[nH]2)cc1,COc1cccc(N=c2[nH]cc(F)c(=Nc3ccc(O)c(OC)c3)[nH]2)c1,0.40842968225479126,1.0,1.0,1.0,0.40842968225479126,3.0,4.0,0.5398897528648376,Use-case DRD2 Demo_82
4.0,O=C(CC(c1ccccc1)c1cccnc1)N=c1nc[nH][nH]1,Cc1ccc(C(c2cccnc2)C(C)(C)C(=O)N=c2nc[nH][nH]2)cc1,0.40840649604797363,1.0,1.0,1.0,0.40840649604797363,2.0,4.0,0.5398717522621155,Use-case DRD2 Demo_83
3.0,c1ccc(-c2cnn3ccnc3c2)cc1,CS(=O)(=O)c1ccc(-c2cnn3ccnc3c2C(F)(F)F)cc1,0.4078797996044159,1.0,1.0,1.0,0.4078797996044159,0.0,2.0,0.5394620895385742,Use-case DRD2 Demo_84
8.0,c1ccc(Cn2nnc3ccc(=NCc4cn[nH]c4)[nH]c32)cc1,CCn1cc(CN=c2ccc3nnn(Cc4ccc(F)cc4)c3[nH]2)cn1,0.40786415338516235,1.0,1.0,1.0,0.40786415338516235,1.0,5.0,0.53944993019104,Use-case DRD2 Demo_85
8.0,C1=CC2(CCNC2)c2ccccc21,COc1cc2c(cc1F)C1(C=C2)CCNC1,0.4075240194797516,1.0,1.0,1.0,0.4075240194797516,1.0,1.0,0.5391852855682373,Use-case DRD2 Demo_86
9.0,O=C(c1ccccc1)n1cccn1,Cc1nn(C(=O)c2ccc(C(C)(C)C)cc2)c(C)c1CC(=O)NC(C)(C)C,0.40736985206604004,1.0,1.0,1.0,0.40736985206604004,1.0,3.0,0.5390654802322388,Use-case DRD2 Demo_87
3.0,O=c1cc(-c2ccccc2)oc2ccccc12,COc1ccc(-c2cc(=O)c3ccccc3o2)cc1OC,0.40732330083847046,1.0,1.0,1.0,0.40732330083847046,0.0,3.0,0.5390292406082153,Use-case DRD2 Demo_88
9.0,N=c1cc(C(=O)Nc2c[nH]n(-c3ccccc3)c2=O)[nH]cn1,CC(=O)N=c1cc(C(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)[nH]cn1,0.4073229730129242,1.0,1.0,1.0,0.4073229730129242,2.0,3.0,0.5390290021896362,Use-case DRD2 Demo_89
4.0,O=C(Cn1ncc2ccccc21)c1c[nH]c2ccccc12,Cn1cc(C(=O)Cn2ncc3ccccc32)c2ccccc21,0.4071759879589081,1.0,1.0,1.0,0.4071759879589081,0.0,3.0,0.538914680480957,Use-case DRD2 Demo_90
4.0,c1ccc(N=c2[nH]ccc(=Nc3cccnc3)[nH]2)cc1,C=CCOc1cccc(N=c2[nH]cc(Cl)c(=Nc3cccnc3)[nH]2)c1,0.4071043133735657,1.0,1.0,1.0,0.4071043133735657,2.0,5.0,0.538858950138092,Use-case DRD2 Demo_91
5.0,O=C(N=c1[nH]ncs1)c1cccnn1,CCc1n[nH]c(=NC(=O)c2cc(C)c(Cl)nn2)s1,0.4061817228794098,1.0,1.0,1.0,0.4061817228794098,1.0,2.0,0.5381413698196411,Use-case DRD2 Demo_92
8.0,O=C(NC1Cc2ccccc2C1)C1CN(c2ccccc2)S(=O)(=O)N1,CN1C(C(=O)NC2Cc3ccccc3C2)CN(c2ccc(Cl)c(Cl)c2)S1(=O)=O,0.40607669949531555,1.0,1.0,1.0,0.40607669949531555,1.0,3.0,0.538059651851654,Use-case DRD2 Demo_93
3.0,O=S(=O)(c1ccccc1)c1ccccc1,CCNc1ccccc1S(=O)(=O)c1ccccc1,0.4059247672557831,1.0,1.0,1.0,0.4059247672557831,1.0,4.0,0.5379415154457092,Use-case DRD2 Demo_94
